Training: 2021-10-26 09:48:49,661-rank_id: 0
Training: 2021-10-26 09:57:41,071-Speed 420.85 samples/sec   Loss 35.2872   LearningRate 0.0250000   Epoch: 0   Global Step: 1450   Required: 0 hours
Training: 2021-10-26 09:57:56,276-Speed 421.11 samples/sec   Loss 35.1640   LearningRate 0.0250000   Epoch: 0   Global Step: 1500   Required: 0 hours
Training: 2021-10-26 09:58:11,490-Speed 420.84 samples/sec   Loss 34.8040   LearningRate 0.0250000   Epoch: 0   Global Step: 1550   Required: 0 hours
Training: 2021-10-26 09:58:26,722-Speed 420.35 samples/sec   Loss 34.5327   LearningRate 0.0250000   Epoch: 0   Global Step: 1600   Required: 0 hours
Training: 2021-10-26 09:58:41,943-Speed 420.64 samples/sec   Loss 34.1568   LearningRate 0.0250000   Epoch: 0   Global Step: 1650   Required: 0 hours
Training: 2021-10-26 09:58:57,144-Speed 421.20 samples/sec   Loss 33.8776   LearningRate 0.0250000   Epoch: 0   Global Step: 1700   Required: 0 hours
Training: 2021-10-26 09:59:12,352-Speed 421.00 samples/sec   Loss 33.5734   LearningRate 0.0250000   Epoch: 0   Global Step: 1750   Required: 0 hours
Training: 2021-10-26 09:59:27,571-Speed 420.74 samples/sec   Loss 33.2724   LearningRate 0.0250000   Epoch: 0   Global Step: 1800   Required: 0 hours
Training: 2021-10-26 09:59:42,801-Speed 420.39 samples/sec   Loss 33.1855   LearningRate 0.0250000   Epoch: 0   Global Step: 1850   Required: 0 hours
Training: 2021-10-26 09:59:58,012-Speed 420.93 samples/sec   Loss 32.8652   LearningRate 0.0250000   Epoch: 0   Global Step: 1900   Required: 0 hours
Training: 2021-10-26 10:00:13,218-Speed 421.08 samples/sec   Loss 32.4198   LearningRate 0.0250000   Epoch: 0   Global Step: 1950   Required: 0 hours
Training: 2021-10-26 10:00:28,426-Speed 421.02 samples/sec   Loss 32.2346   LearningRate 0.0250000   Epoch: 0   Global Step: 2000   Required: 0 hours
Training: 2021-10-26 10:01:13,842-[lfw][2000]XNorm: 32.934139
Training: 2021-10-26 10:01:13,842-[lfw][2000]Accuracy-Flip: 0.81000+-0.01655
Training: 2021-10-26 10:01:13,842-[lfw][2000]Accuracy-Highest: 0.81000
Training: 2021-10-26 10:02:06,644-[cfp_fp][2000]XNorm: 29.991483
Training: 2021-10-26 10:02:06,644-[cfp_fp][2000]Accuracy-Flip: 0.63557+-0.02092
Training: 2021-10-26 10:02:06,645-[cfp_fp][2000]Accuracy-Highest: 0.63557
Training: 2021-10-26 10:02:52,122-[agedb_30][2000]XNorm: 28.845651
Training: 2021-10-26 10:02:52,122-[agedb_30][2000]Accuracy-Flip: 0.53867+-0.01619
Training: 2021-10-26 10:02:52,122-[agedb_30][2000]Accuracy-Highest: 0.53867
Training: 2021-10-26 10:03:07,398-Speed 40.26 samples/sec   Loss 31.9705   LearningRate 0.0250000   Epoch: 0   Global Step: 2050   Required: 0 hours
Training: 2021-10-26 10:03:22,628-Speed 420.41 samples/sec   Loss 31.7950   LearningRate 0.0250000   Epoch: 0   Global Step: 2100   Required: 0 hours
Training: 2021-10-26 10:03:37,851-Speed 420.57 samples/sec   Loss 31.3393   LearningRate 0.0250000   Epoch: 0   Global Step: 2150   Required: 0 hours
Training: 2021-10-26 10:03:53,088-Speed 420.24 samples/sec   Loss 31.3128   LearningRate 0.0250000   Epoch: 0   Global Step: 2200   Required: 0 hours
Training: 2021-10-26 10:04:08,361-Speed 419.22 samples/sec   Loss 31.2225   LearningRate 0.0250000   Epoch: 0   Global Step: 2250   Required: 0 hours
Training: 2021-10-26 10:04:23,654-Speed 418.66 samples/sec   Loss 30.6951   LearningRate 0.0250000   Epoch: 0   Global Step: 2300   Required: 0 hours
Training: 2021-10-26 10:04:38,880-Speed 420.53 samples/sec   Loss 30.5552   LearningRate 0.0250000   Epoch: 0   Global Step: 2350   Required: 0 hours
Training: 2021-10-26 10:04:54,108-Speed 420.44 samples/sec   Loss 30.1498   LearningRate 0.0250000   Epoch: 0   Global Step: 2400   Required: 0 hours
Training: 2021-10-26 10:05:09,341-Speed 420.34 samples/sec   Loss 30.0586   LearningRate 0.0250000   Epoch: 0   Global Step: 2450   Required: 0 hours
Training: 2021-10-26 10:05:19,794-Pytorch Model Saved in '/output/webface_r18_1024/backbone.pth'
Training: 2021-10-26 10:05:21,169-Pytorch Model Saved in '/output/webface_r18_1024/backbone_000.pth'
